,city,date,fare,ride_id,driver_count,type
74,Port Samanthamouth,2019-03-20 5:48,36.7,819000000000.0,57,Urban
75,Port Samanthamouth,2019-03-15 9:03,5.62,6910000000000.0,57,Urban
76,Port Samanthamouth,2019-04-25 3:29,9.44,4790000000000.0,57,Urban
77,Port Samanthamouth,2019-01-01 21:04,11.71,1850000000000.0,57,Urban
78,Port Samanthamouth,2019-04-09 20:55,24.99,6740000000000.0,57,Urban
79,Port Samanthamouth,2019-02-02 1:57,39.28,2670000000000.0,57,Urban
80,Rodneyfort,2019-02-10 23:22,23.44,5150000000000.0,34,Urban
81,Rodneyfort,2019-03-02 18:03,44.26,2490000000000.0,34,Urban
82,Rodneyfort,2019-02-03 0:48,44.86,2330000000000.0,34,Urban
83,Rodneyfort,2019-04-25 20:57,21.7,8530000000000.0,34,Urban
84,Rodneyfort,2019-01-30 12:34,16.99,5780000000000.0,34,Urban
85,Rodneyfort,2019-01-08 0:29,29.4,1180000000000.0,34,Urban
86,Rodneyfort,2019-02-08 7:35,30.02,2500000000000.0,34,Urban
87,Rodneyfort,2019-03-20 10:40,42.57,6350000000000.0,34,Urban
88,Rodneyfort,2019-05-06 22:21,27.16,3770000000000.0,34,Urban
89,Rodneyfort,2019-03-04 15:13,28.69,276000000000.0,34,Urban
90,Rodneyfort,2019-04-11 2:57,36.3,9050000000000.0,34,Urban
91,Rodneyfort,2019-03-10 5:23,29.13,4630000000000.0,34,Urban
92,Rodneyfort,2019-04-10 23:38,25.4,9060000000000.0,34,Urban
93,Rodneyfort,2019-03-07 23:37,7.78,2860000000000.0,34,Urban
94,Rodneyfort,2019-04-29 0:20,44.28,6980000000000.0,34,Urban
95,Rodneyfort,2019-04-12 23:29,27.81,5670000000000.0,34,Urban
96,Rodneyfort,2019-03-15 10:18,30.83,4180000000000.0,34,Urban
97,Rodneyfort,2019-05-05 3:19,22.24,5390000000000.0,34,Urban
98,Rodneyfort,2019-01-12 6:17,7.05,4240000000000.0,34,Urban
99,Rodneyfort,2019-01-11 14:18,23.21,3430000000000.0,34,Urban
100,Rodneyfort,2019-03-24 19:06,31.41,827000000000.0,34,Urban
101,Rodneyfort,2019-02-06 11:01,27.87,9790000000000.0,34,Urban
102,Rodneyfort,2019-04-19 9:46,35.79,9920000000000.0,34,Urban
103,South Jack,2019-03-06 4:28,34.58,3910000000000.0,46,Urban
104,South Jack,2019-04-24 19:33,38.04,2200000000000.0,46,Urban
105,South Jack,2019-03-30 20:21,4.2,4820000000000.0,46,Urban
106,South Jack,2019-02-01 22:32,28.37,3370000000000.0,46,Urban
107,South Jack,2019-01-31 2:51,21.75,6970000000000.0,46,Urban
108,South Jack,2019-01-05 11:31,13.14,6810000000000.0,46,Urban
109,South Jack,2019-01-14 17:06,40.65,5440000000000.0,46,Urban
110,South Jack,2019-01-15 5:51,5.58,1790000000000.0,46,Urban
111,South Jack,2019-03-14 17:18,18.66,3510000000000.0,46,Urban
112,South Jack,2019-01-03 23:11,4.95,9010000000000.0,46,Urban
113,South Jack,2019-02-01 11:28,26.72,5060000000000.0,46,Urban
114,South Jack,2019-03-08 8:55,17.17,8790000000000.0,46,Urban
115,South Jack,2019-02-13 9:20,32.64,881000000000.0,46,Urban
116,South Jack,2019-03-03 9:00,29.88,2150000000000.0,46,Urban
117,South Jack,2019-01-29 20:13,43.12,6050000000000.0,46,Urban
118,South Jack,2019-01-09 20:31,21.13,6060000000000.0,46,Urban
119,South Jack,2019-02-17 9:55,18.08,3670000000000.0,46,Urban
120,South Jack,2019-04-10 1:23,29.97,6130000000000.0,46,Urban
121,South Jack,2019-02-06 12:17,7.71,6330000000000.0,46,Urban
122,South Latoya,2019-03-11 12:26,9.52,2000000000000.0,10,Urban
123,South Latoya,2019-01-11 18:44,27.41,8660000000000.0,10,Urban
124,South Latoya,2019-02-12 16:32,30.22,7390000000000.0,10,Urban
125,South Latoya,2019-03-02 6:06,10.35,338000000000.0,10,Urban
126,South Latoya,2019-03-19 16:19,31.72,364000000000.0,10,Urban
127,South Latoya,2019-01-18 20:09,10.98,7140000000000.0,10,Urban
128,South Latoya,2019-03-19 22:03,40.29,660000000000.0,10,Urban
129,South Latoya,2019-02-12 22:59,5.54,840000000000.0,10,Urban
130,South Latoya,2019-03-19 7:54,30.03,9560000000000.0,10,Urban
131,South Latoya,2019-02-12 16:31,28.92,5780000000000.0,10,Urban
132,South Latoya,2019-01-02 0:44,43.72,390000000000.0,10,Urban
133,South Latoya,2019-01-31 23:20,14.82,6960000000000.0,10,Urban
134,South Latoya,2019-03-29 22:54,5.93,2620000000000.0,10,Urban
135,South Latoya,2019-02-09 20:42,12.17,9010000000000.0,10,Urban
136,South Latoya,2019-03-04 12:20,5.04,9880000000000.0,10,Urban
137,South Latoya,2019-01-18 6:04,5.69,701000000000.0,10,Urban
138,South Latoya,2019-02-25 23:06,25.87,4910000000000.0,10,Urban
139,South Latoya,2019-03-13 1:15,16.01,2760000000000.0,10,Urban
140,South Latoya,2019-04-22 12:29,27.54,3390000000000.0,10,Urban
141,New Paulville,2019-02-27 11:17,43.25,793000000000.0,44,Urban
142,New Paulville,2019-03-18 22:54,25.05,5030000000000.0,44,Urban
143,New Paulville,2019-03-10 10:45,4.43,1210000000000.0,44,Urban
144,New Paulville,2019-04-03 7:51,32.7,9560000000000.0,44,Urban
145,New Paulville,2019-03-27 2:18,7.29,7050000000000.0,44,Urban
146,New Paulville,2019-01-31 5:32,20.8,1090000000000.0,44,Urban
147,New Paulville,2019-01-30 15:21,7.02,8500000000000.0,44,Urban
148,New Paulville,2019-01-25 15:19,15.04,7530000000000.0,44,Urban
149,New Paulville,2019-02-18 23:43,38.97,1730000000000.0,44,Urban
150,New Paulville,2019-05-01 13:29,10.3,1060000000000.0,44,Urban
151,New Paulville,2019-04-13 10:23,8.69,592000000000.0,44,Urban
152,New Paulville,2019-03-14 21:25,20.26,8810000000000.0,44,Urban
153,New Paulville,2019-02-15 23:58,28.18,2040000000000.0,44,Urban
154,New Paulville,2019-05-02 18:20,12.08,616000000000.0,44,Urban
155,New Paulville,2019-04-29 23:05,14.59,3630000000000.0,44,Urban
156,New Paulville,2019-01-02 20:52,33.08,2370000000000.0,44,Urban
157,New Paulville,2019-03-05 15:43,23.75,9560000000000.0,44,Urban
158,New Paulville,2019-04-24 2:25,13.32,8560000000000.0,44,Urban
159,New Paulville,2019-03-08 15:08,18.35,3740000000000.0,44,Urban
160,New Paulville,2019-01-05 8:35,21.57,3710000000000.0,44,Urban
161,New Paulville,2019-01-05 17:16,44.68,3080000000000.0,44,Urban
162,New Paulville,2019-01-21 20:51,33.47,8220000000000.0,44,Urban
163,Simpsonburgh,2019-04-26 0:43,35.98,112000000000.0,21,Urban
164,Simpsonburgh,2019-01-19 23:06,15.83,233000000000.0,21,Urban
165,Simpsonburgh,2019-03-22 8:56,22.05,3500000000000.0,21,Urban
166,Simpsonburgh,2019-04-03 8:47,4.74,8560000000000.0,21,Urban
167,Simpsonburgh,2019-02-05 16:02,25.58,2040000000000.0,21,Urban
168,Simpsonburgh,2019-01-12 4:35,24.83,3150000000000.0,21,Urban
169,Simpsonburgh,2019-04-26 9:31,33.71,2600000000000.0,21,Urban
170,Simpsonburgh,2019-04-01 4:02,25.65,2870000000000.0,21,Urban
171,Simpsonburgh,2019-04-12 19:38,22.45,7810000000000.0,21,Urban
172,Simpsonburgh,2019-03-31 11:49,24.16,9710000000000.0,21,Urban
173,Simpsonburgh,2019-02-14 22:52,30.0,7640000000000.0,21,Urban
174,Simpsonburgh,2019-04-28 10:54,10.07,2990000000000.0,21,Urban
175,Simpsonburgh,2019-02-27 0:58,13.38,1580000000000.0,21,Urban
176,Simpsonburgh,2019-01-06 2:20,27.2,3680000000000.0,21,Urban
177,Simpsonburgh,2019-01-18 12:48,15.36,5200000000000.0,21,Urban
178,Simpsonburgh,2019-01-31 5:16,39.23,3700000000000.0,21,Urban
179,Simpsonburgh,2019-03-04 11:08,23.33,1000000000000.0,21,Urban
180,Simpsonburgh,2019-02-15 9:18,4.63,60590634054.0,21,Urban
181,Simpsonburgh,2019-04-26 22:20,29.22,4450000000000.0,21,Urban
182,Simpsonburgh,2019-05-04 11:41,33.11,2860000000000.0,21,Urban
183,Simpsonburgh,2019-01-23 20:35,39.95,1110000000000.0,21,Urban
184,Simpsonburgh,2019-01-08 5:59,13.01,9410000000000.0,21,Urban
185,Simpsonburgh,2019-01-05 16:36,39.44,252000000000.0,21,Urban
186,Simpsonburgh,2019-03-03 8:45,7.63,4180000000000.0,21,Urban
187,South Karenland,2019-01-08 3:28,35.09,8000000000000.0,4,Urban
188,South Karenland,2019-02-12 6:52,36.01,4020000000000.0,4,Urban
189,South Karenland,2019-05-08 2:31,41.33,5690000000000.0,4,Urban
190,South Karenland,2019-03-03 14:48,37.3,4100000000000.0,4,Urban
191,South Karenland,2019-04-22 21:37,22.86,6730000000000.0,4,Urban
192,South Karenland,2019-02-14 14:00,39.53,2860000000000.0,4,Urban
193,South Karenland,2019-02-12 3:42,5.78,8890000000000.0,4,Urban
194,South Karenland,2019-03-26 6:12,35.5,1480000000000.0,4,Urban
195,South Karenland,2019-04-25 14:44,24.86,1310000000000.0,4,Urban
196,South Karenland,2019-03-24 23:37,41.44,605000000000.0,4,Urban
197,South Karenland,2019-02-01 19:45,31.64,9380000000000.0,4,Urban
198,South Karenland,2019-03-20 10:34,33.24,3100000000000.0,4,Urban
199,South Karenland,2019-01-10 23:48,37.58,7170000000000.0,4,Urban
200,South Karenland,2019-03-17 1:22,23.26,557000000000.0,4,Urban
201,South Karenland,2019-03-19 14:50,23.07,5760000000000.0,4,Urban
202,South Karenland,2019-01-31 15:50,36.28,9220000000000.0,4,Urban
203,South Karenland,2019-01-25 8:14,31.02,500000000000.0,4,Urban
204,South Karenland,2019-03-16 2:20,4.87,2390000000000.0,4,Urban
205,South Karenland,2019-01-09 20:59,44.44,3180000000000.0,4,Urban
206,South Karenland,2019-03-03 7:40,22.44,7460000000000.0,4,Urban
207,South Karenland,2019-02-19 2:20,39.59,9830000000000.0,4,Urban
208,South Karenland,2019-05-08 11:38,19.77,7840000000000.0,4,Urban
209,South Karenland,2019-01-14 2:07,24.71,8610000000000.0,4,Urban
210,South Karenland,2019-04-18 13:07,8.56,7560000000000.0,4,Urban
211,South Karenland,2019-04-21 11:42,7.44,3550000000000.0,4,Urban
212,South Karenland,2019-04-23 9:19,12.34,9190000000000.0,4,Urban
213,South Karenland,2019-02-13 3:55,24.16,3270000000000.0,4,Urban
214,South Karenland,2019-05-03 16:09,19.69,2540000000000.0,4,Urban
215,South Karenland,2019-04-27 16:20,6.62,9440000000000.0,4,Urban
216,South Karenland,2019-01-23 5:56,22.54,907000000000.0,4,Urban
217,South Karenland,2019-03-22 4:17,15.54,1310000000000.0,4,Urban
218,South Karenland,2019-03-30 1:56,20.21,2900000000000.0,4,Urban
219,South Karenland,2019-02-02 14:50,10.54,4510000000000.0,4,Urban
220,South Karenland,2019-01-03 6:18,39.16,5490000000000.0,4,Urban
221,South Karenland,2019-02-26 13:01,38.05,445000000000.0,4,Urban
222,South Karenland,2019-02-26 20:40,35.61,8410000000000.0,4,Urban
223,South Karenland,2019-01-02 21:27,19.57,7270000000000.0,4,Urban
224,South Karenland,2019-04-25 5:20,36.71,7090000000000.0,4,Urban
225,North Jasmine,2019-03-09 6:26,42.81,5330000000000.0,33,Urban
226,North Jasmine,2019-02-08 19:03,4.86,1280000000000.0,33,Urban
227,North Jasmine,2019-01-22 17:25,31.68,712000000000.0,33,Urban
228,North Jasmine,2019-02-22 1:56,25.33,1320000000000.0,33,Urban
229,North Jasmine,2019-04-10 11:45,38.24,2960000000000.0,33,Urban
230,North Jasmine,2019-03-11 21:03,37.93,4220000000000.0,33,Urban
231,North Jasmine,2019-05-02 10:24,29.86,3200000000000.0,33,Urban
232,North Jasmine,2019-04-26 12:08,35.33,6860000000000.0,33,Urban
233,North Jasmine,2019-02-05 22:28,19.21,6790000000000.0,33,Urban
234,North Jasmine,2019-02-18 3:09,31.49,9760000000000.0,33,Urban
235,North Jasmine,2019-03-04 16:59,42.58,8860000000000.0,33,Urban
236,North Jasmine,2019-02-17 0:27,35.11,6620000000000.0,33,Urban
237,North Jasmine,2019-04-24 8:49,28.24,8270000000000.0,33,Urban
238,North Jasmine,2019-04-24 8:05,14.11,4190000000000.0,33,Urban
239,North Jasmine,2019-04-11 3:38,27.54,5000000000000.0,33,Urban
240,North Jasmine,2019-04-01 4:31,28.04,5010000000000.0,33,Urban
241,North Jasmine,2019-02-01 20:17,8.09,416000000000.0,33,Urban
242,North Jasmine,2019-02-10 20:19,31.38,4750000000000.0,33,Urban
243,North Jasmine,2019-02-27 1:34,35.31,9250000000000.0,33,Urban
244,North Jasmine,2019-04-21 15:15,5.31,2980000000000.0,33,Urban
245,North Jasmine,2019-04-03 13:15,19.66,9210000000000.0,33,Urban
246,North Jasmine,2019-01-05 16:39,26.72,3670000000000.0,33,Urban
247,North Jasmine,2019-04-17 7:34,22.41,4200000000000.0,33,Urban
248,North Jasmine,2019-01-21 21:00,33.06,4260000000000.0,33,Urban
249,North Jasmine,2019-02-06 19:23,9.12,3930000000000.0,33,Urban
250,North Jasmine,2019-03-21 18:31,39.02,7930000000000.0,33,Urban
251,North Jasmine,2019-04-22 15:53,6.49,1620000000000.0,33,Urban
252,North Jasmine,2019-05-08 7:29,18.55,5680000000000.0,33,Urban
253,North Jasmine,2019-04-17 10:37,11.76,4450000000000.0,33,Urban
254,North Jasmine,2019-01-13 16:18,16.92,5900000000000.0,33,Urban
255,New Kimberlyborough,2019-02-07 1:10,9.34,7990000000000.0,33,Urban
256,New Kimberlyborough,2019-04-25 22:58,29.67,4820000000000.0,33,Urban
257,New Kimberlyborough,2019-03-14 16:47,27.9,6750000000000.0,33,Urban
258,New Kimberlyborough,2019-03-16 1:38,17.19,2770000000000.0,33,Urban
259,New Kimberlyborough,2019-05-01 13:56,22.59,9250000000000.0,33,Urban
260,New Kimberlyborough,2019-03-29 20:35,42.51,8300000000000.0,33,Urban
261,New Kimberlyborough,2019-02-09 5:48,39.55,6010000000000.0,33,Urban
262,New Kimberlyborough,2019-01-30 21:46,29.09,8590000000000.0,33,Urban
263,New Kimberlyborough,2019-01-05 9:33,39.47,2810000000000.0,33,Urban
264,New Kimberlyborough,2019-03-10 13:55,10.83,1560000000000.0,33,Urban
265,New Kimberlyborough,2019-01-08 18:59,13.34,627000000000.0,33,Urban
266,New Kimberlyborough,2019-03-19 7:17,15.78,6410000000000.0,33,Urban
267,New Kimberlyborough,2019-04-03 16:27,14.73,9080000000000.0,33,Urban
268,New Kimberlyborough,2019-04-11 10:38,12.01,136000000000.0,33,Urban
269,New Kimberlyborough,2019-03-19 15:25,27.37,533000000000.0,33,Urban
270,New Kimberlyborough,2019-01-07 5:12,15.22,7020000000000.0,33,Urban
271,New Kimberlyborough,2019-03-28 12:48,10.91,935000000000.0,33,Urban
272,New Kimberlyborough,2019-03-02 18:56,6.08,3870000000000.0,33,Urban
273,New Kimberlyborough,2019-04-29 7:38,9.08,3170000000000.0,33,Urban
274,New Kimberlyborough,2019-02-09 13:28,6.43,6450000000000.0,33,Urban
275,New Kimberlyborough,2019-04-24 18:35,28.87,7940000000000.0,33,Urban
276,New Kimberlyborough,2019-01-27 14:49,23.09,5580000000000.0,33,Urban
277,New Kimberlyborough,2019-04-01 12:09,10.76,9130000000000.0,33,Urban
278,New Kimberlyborough,2019-04-28 12:48,33.35,9500000000000.0,33,Urban
279,New Kimberlyborough,2019-04-01 4:31,35.11,8280000000000.0,33,Urban
280,New Kimberlyborough,2019-03-13 9:48,14.84,1840000000000.0,33,Urban
281,New Kimberlyborough,2019-04-03 20:23,33.74,6330000000000.0,33,Urban
282,New Kimberlyborough,2019-02-05 11:23,18.02,3980000000000.0,33,Urban
283,New Kimberlyborough,2019-04-24 2:21,37.73,2210000000000.0,33,Urban
284,New Kimberlyborough,2019-04-03 3:36,43.07,5600000000000.0,33,Urban
285,West Angela,2019-01-12 1:45,26.86,4820000000000.0,48,Urban
286,West Angela,2019-01-10 12:17,12.74,2110000000000.0,48,Urban
287,West Angela,2019-03-08 1:08,41.06,6200000000000.0,48,Urban
288,West Angela,2019-03-10 11:23,27.1,1370000000000.0,48,Urban
289,West Angela,2019-01-30 18:08,19.13,2080000000000.0,48,Urban
290,West Angela,2019-01-30 18:46,32.31,7290000000000.0,48,Urban
291,West Angela,2019-03-01 11:13,30.3,9670000000000.0,48,Urban
292,West Angela,2019-02-05 18:53,36.37,7830000000000.0,48,Urban
293,West Angela,2019-05-03 9:04,24.07,7810000000000.0,48,Urban
294,West Angela,2019-04-14 18:40,32.77,5000000000000.0,48,Urban
295,West Angela,2019-03-18 12:08,34.05,5330000000000.0,48,Urban
296,West Angela,2019-04-18 12:07,16.18,5770000000000.0,48,Urban
297,West Angela,2019-01-27 9:35,9.24,2620000000000.0,48,Urban
298,West Angela,2019-03-08 13:24,4.92,5450000000000.0,48,Urban
299,West Angela,2019-01-19 0:36,40.4,741000000000.0,48,Urban
300,West Angela,2019-04-03 14:44,23.52,4840000000000.0,48,Urban
301,West Angela,2019-03-04 17:50,20.72,1780000000000.0,48,Urban
302,West Angela,2019-05-05 14:17,23.66,9190000000000.0,48,Urban
303,West Angela,2019-01-22 2:28,32.18,4240000000000.0,48,Urban
304,West Angela,2019-03-07 10:38,14.8,5020000000000.0,48,Urban
305,West Angela,2019-03-20 23:44,23.83,8750000000000.0,48,Urban
306,West Angela,2019-01-25 12:19,41.05,4600000000000.0,48,Urban
307,West Angela,2019-01-04 20:45,20.33,1920000000000.0,48,Urban
308,West Angela,2019-05-01 19:03,23.23,7770000000000.0,48,Urban
309,West Angela,2019-02-21 13:51,29.99,4370000000000.0,48,Urban
310,West Angela,2019-02-15 8:01,44.12,1960000000000.0,48,Urban
311,West Angela,2019-02-22 2:22,19.44,3790000000000.0,48,Urban
312,West Angela,2019-01-12 1:55,20.46,5240000000000.0,48,Urban
313,West Angela,2019-01-02 9:28,19.81,9740000000000.0,48,Urban
314,West Angela,2019-02-22 4:05,23.09,5990000000000.0,48,Urban
315,West Angela,2019-03-18 15:57,13.06,7210000000000.0,48,Urban
316,West Angela,2019-04-10 17:06,31.03,3520000000000.0,48,Urban
317,West Angela,2019-04-11 6:59,29.06,714000000000.0,48,Urban
318,West Angela,2019-02-21 8:28,40.55,1830000000000.0,48,Urban
319,West Angela,2019-03-17 9:42,23.45,7770000000000.0,48,Urban
320,West Angela,2019-02-21 12:29,27.68,792000000000.0,48,Urban
321,West Angela,2019-04-13 21:50,28.75,3700000000000.0,48,Urban
322,West Angela,2019-04-14 12:28,39.95,7950000000000.0,48,Urban
323,West Angela,2019-05-07 1:03,12.35,2050000000000.0,48,Urban
324,Roberthaven,2019-05-04 14:48,25.66,1030000000000.0,47,Urban
325,Roberthaven,2019-02-24 10:26,7.8,2180000000000.0,47,Urban
326,Roberthaven,2019-03-06 22:56,12.38,3370000000000.0,47,Urban
327,Roberthaven,2019-03-14 16:12,36.84,4120000000000.0,47,Urban
328,Roberthaven,2019-03-14 15:24,35.27,4030000000000.0,47,Urban
329,Roberthaven,2019-04-05 14:01,31.09,1020000000000.0,47,Urban
330,Roberthaven,2019-01-21 19:25,23.14,4940000000000.0,47,Urban
331,Roberthaven,2019-02-16 10:23,14.95,6650000000000.0,47,Urban
332,Roberthaven,2019-03-22 4:19,34.69,1770000000000.0,47,Urban
333,Roberthaven,2019-03-30 15:12,16.2,2950000000000.0,47,Urban
334,Roberthaven,2019-02-22 19:42,27.48,9420000000000.0,47,Urban
335,Roberthaven,2019-03-27 7:24,11.51,9190000000000.0,47,Urban
336,Roberthaven,2019-02-09 0:25,11.71,8180000000000.0,47,Urban
337,Roberthaven,2019-03-05 12:12,5.43,605000000000.0,47,Urban
338,Roberthaven,2019-02-12 7:58,37.0,4700000000000.0,47,Urban
339,Roberthaven,2019-04-25 14:14,22.75,7370000000000.0,47,Urban
340,Roberthaven,2019-04-07 16:53,13.4,4900000000000.0,47,Urban
341,Roberthaven,2019-03-17 14:48,26.71,9350000000000.0,47,Urban
342,Roberthaven,2019-04-22 4:12,31.29,4100000000000.0,47,Urban
343,Roberthaven,2019-01-28 10:23,21.72,7330000000000.0,47,Urban
344,Roberthaven,2019-01-28 22:09,28.11,6230000000000.0,47,Urban
345,Roberthaven,2019-05-03 5:43,42.15,2590000000000.0,47,Urban
346,Roberthaven,2019-01-15 21:25,30.42,5910000000000.0,47,Urban
347,Roberthaven,2019-05-02 21:36,21.8,3460000000000.0,47,Urban
348,North Jason,2019-03-28 22:28,9.19,7010000000000.0,6,Urban
349,North Jason,2019-03-03 2:13,28.02,2670000000000.0,6,Urban
350,North Jason,2019-03-08 20:06,25.21,3180000000000.0,6,Urban
351,North Jason,2019-02-07 7:27,20.0,474000000000.0,6,Urban
352,North Jason,2019-03-18 10:10,6.41,2870000000000.0,6,Urban
353,North Jason,2019-02-26 11:57,13.88,2490000000000.0,6,Urban
354,North Jason,2019-03-21 9:45,10.42,6600000000000.0,6,Urban
355,North Jason,2019-01-23 22:51,21.95,6700000000000.0,6,Urban
356,North Jason,2019-04-18 12:19,22.42,4930000000000.0,6,Urban
357,North Jason,2019-04-16 15:23,24.07,9730000000000.0,6,Urban
358,North Jason,2019-03-24 7:40,32.72,7960000000000.0,6,Urban
359,North Jason,2019-02-19 4:45,15.87,7790000000000.0,6,Urban
360,North Jason,2019-04-05 2:05,31.89,9990000000000.0,6,Urban
361,North Jason,2019-01-14 20:53,26.58,8640000000000.0,6,Urban
362,North Jason,2019-01-05 10:59,16.22,3840000000000.0,6,Urban
363,North Jason,2019-02-22 7:07,18.67,190000000000.0,6,Urban
364,North Jason,2019-01-23 21:22,6.54,5610000000000.0,6,Urban
